ID,shelf,tank,pCO2,DIC,TA,pCO2_calc,Calcite,pH_meas,survival,survival_date,sample_date,Percent_Change_Day_Buoyant,Percent_Change_Day_Dry,Respiration_hr_mgtissue_mlwater,EPF_pH,EPF_1hr,EPF_2hr,EPF_4hr,EPF_8hr,EPF_12hr,EPF_24hr,EPF_DIC_Start,EPF_DIC_1hr,EPF_DIC_8hr,EPF_DIC_24hr,EPF_Ca_Start,Notes
17002,2,2,400,2329.53,2437.2,590.67,2.86,7.83,Y,20170509,20170509,NA,NA,NA,7.44486656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17009,6,3,2800,2622.52,2522.02,2555.7,1.13,7.23,Y,20170509,20170509,NA,NA,NA,7.336501768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17014,5,2,900,2441,2468.42,865.45,2.15,7.62,Y,20170509,20170509,NA,NA,NA,7.536121122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17016,5,1,900,2439.9,2459.91,936.56,2.02,7.62,Y,20170509,20170509,NA,NA,NA,7.587451813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17018,1,3,400,2377.12,2484.38,574.36,2.93,7.84,Y,20170509,20170509,NA,NA,NA,7.787071168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17035,5,3,900,2441.67,2467.77,890.65,2.12,7.62,Y,20170509,20170509,NA,NA,NA,7.519010892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17047,6,1,2800,2616.63,2523.13,2423.47,1.17,7.24,Y,20170509,20170509,NA,NA,NA,7.330798358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17060,1,2,400,2388.7,2486.18,535.06,3.10,7.84,Y,20170509,20170509,NA,NA,NA,7.758554117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17063,4,3,2800,2612.89,2488.3,2516.92,1.01,7.22,Y,20170509,20170509,NA,NA,NA,7.730037066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17067,2,1,400,2359.13,2470.99,545.47,2.98,7.83,Y,20170509,20170509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17092,3,1,900,2453.26,2468.16,943.47,2.01,7.59,Y,20170509,20170509,NA,NA,NA,7.752850707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17103,3,2,900,2449.19,2464.79,904.6,2.08,7.59,Y,20170509,20170509,NA,NA,NA,7.501900661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17112,1,1,400,2404.69,2506.24,576.45,2.97,7.83,Y,20170509,20170509,NA,NA,NA,7.564638173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17149,4,1,2800,2587.92,2497.79,2378.18,1.08,7.23,Y,20170509,20170509,NA,NA,NA,7.365018818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17185,2,3,400,2348.8,2454.04,519.42,3.1,7.83,Y,20170509,20170509,NA,NA,NA,7.45056997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17192,6,2,2800,2608.91,2522.06,2346.38,1.21,7.23,Y,20170509,20170509,NA,NA,NA,7.245247206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17209,3,3,900,2442.18,2466.7,908.54,2.07,7.59,Y,20170509,20170509,NA,NA,NA,7.319391537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17221,4,2,2800,2601.68,2504.96,2527.05,1.02,7.22,Y,20170509,20170509,NA,NA,NA,7.553231353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17003,4,2,2800,2601.68,2504.96,2527.05,1.02,7.22,Y,20170517,20170517,NA,NA,NA,7.459724951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17006,3,2,900,2449.19,2464.79,904.6,2.08,7.59,Y,20170517,20170517,NA,NA,NA,7.300589391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17017,1,1,400,2404.69,2506.24,576.45,2.97,7.83,Y,20170517,20170517,NA,NA,NA,7.424361493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17025,4,1,2800,2587.92,2497.79,2378.18,1.08,7.23,Y,20170517,20170517,NA,NA,NA,7.742632613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17034,5,1,900,2439.9,2459.91,936.56,2.02,7.62,Y,20170517,20170517,NA,NA,NA,7.076620825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17037,1,2,400,2388.7,2486.18,535.06,3.10,7.84,Y,20170517,20170517,NA,NA,NA,7.689587426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17055,1,3,400,2377.12,2484.38,574.36,2.93,7.84,Y,20170517,20170517,NA,NA,NA,7.660117878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17059,2,1,400,2359.13,2470.99,545.47,2.98,7.83,Y,20170517,20170517,NA,NA,NA,7.724950884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17076,6,1,2800,2616.63,2523.13,2423.47,1.17,7.24,Y,20170517,20170517,NA,NA,NA,7.459724951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17083,5,2,900,2441,2468.42,865.45,2.15,7.62,Y,20170517,20170517,NA,NA,NA,7.16502947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17084,4,3,2800,2612.89,2488.3,2516.92,1.01,7.22,Y,20170517,20170517,NA,NA,NA,7.430255403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17107,6,3,2800,2622.52,2522.02,2555.7,1.13,7.23,Y,20170517,20170517,NA,NA,NA,7.418467583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17121,3,3,900,2442.18,2466.7,908.54,2.07,7.59,Y,20170517,20170517,NA,NA,NA,7.300589391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17124,5,3,900,2441.67,2467.77,890.65,2.12,7.62,Y,20170517,20170517,NA,NA,NA,7.300589391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17134,2,2,400,2329.53,2437.2,590.67,2.86,7.83,Y,20170517,20170517,NA,NA,NA,7.542239686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17160,6,2,2800,2608.91,2522.06,2346.38,2.01,7.23,Y,20170517,20170517,NA,NA,NA,7.247544204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17171,3,1,900,2453.26,2468.16,943.47,2.01,7.59,Y,20170517,20170517,NA,NA,NA,7.170923379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17202,2,3,400,2348.8,2454.04,519.42,3.1,7.83,Y,20170517,20170517,NA,NA,NA,8.055009823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17010,5,2,900,2441,2468.42,865.45,2.15,7.62,Y,20170602,20170602,-0.005000212,-5.55579E-06,NA,7.403824511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not enough fluid for DIC
17024,1,2,400,2388.7,2486.18,535.06,3.10,7.84,Y,20170602,20170602,0.005687451,1.42186E-05,NA,7.426769053,NA,NA,NA,NA,NA,NA,712.77,NA,NA,NA,0.32,
17046,3,1,900,2453.26,2468.16,943.47,2.01,7.59,Y,20170602,20170602,-0.017278268,-1.91981E-05,NA,7.449713595,NA,NA,NA,NA,NA,NA,3081.31,NA,NA,NA,1.48,
17056,6,3,2800,2622.52,2522.02,2555.7,1.13,7.23,Y,20170602,20170602,0.01812793,6.47426E-06,NA,7.736520368,NA,NA,NA,NA,NA,NA,6641.4,NA,NA,NA,6.41,
17064,3,2,900,2449.19,2464.79,904.6,2.08,7.59,Y,20170602,20170602,0.006915861,7.68429E-06,NA,7.357935427,NA,NA,NA,NA,NA,NA,12348.05,NA,NA,NA,4.72,
17077,1,1,400,2404.69,2506.24,576.45,2.97,7.83,Y,20170602,20170602,-0.006515939,-1.62898E-05,NA,7.254684989,NA,NA,NA,NA,NA,NA,3326.78,NA,NA,NA,0.98,
17078,4,2,2800,2601.68,2504.96,2527.05,1.02,7.22,Y,20170602,20170602,-0.008369428,-2.98908E-06,NA,7.26615726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not enough fluid for DIC
17086,5,1,900,2439.9,2459.91,936.56,2.02,7.62,Y,20170602,20170602,-0.012216544,-1.35739E-05,NA,7.610325388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not enough fluid for DIC
17096,4,3,2800,2612.89,2488.3,2516.92,1.01,7.22,Y,20170602,20170602,0.026963902,9.62996E-06,NA,7.719311962,NA,NA,NA,NA,NA,NA,9705.63,NA,NA,NA,9.00,
17097,6,1,2800,2616.63,2523.13,2423.47,1.17,7.24,Y,20170602,20170602,-0.002945791,-1.05207E-06,NA,7.552964033,NA,NA,NA,NA,NA,NA,1389.97,NA,NA,NA,0.86,
17109,2,2,400,2329.53,2437.2,590.67,2.86,7.83,Y,20170602,20170602,0.020812319,5.20308E-05,NA,7.719311962,NA,NA,NA,NA,NA,NA,257.39,NA,NA,NA,0.23,
17127,3,3,900,2442.18,2466.7,908.54,2.07,7.59,Y,20170602,20170602,-0.014998993,-1.66655E-05,NA,7.524283356,NA,NA,NA,NA,NA,NA,339.62,NA,NA,NA,0.20,
17150,2,3,400,2348.8,2454.04,519.42,3.1,7.83,Y,20170602,20170602,-0.006201372,-1.55034E-05,NA,7.111281602,NA,NA,NA,NA,NA,NA,8888.09,NA,NA,NA,1.83,
17165,1,3,400,2377.12,2484.38,574.36,2.93,7.84,Y,20170602,20170602,0.025201528,6.30038E-05,NA,8.06348009,NA,NA,NA,NA,NA,NA,4699,NA,NA,NA,9.51,
17183,5,3,900,2441.67,2467.77,890.65,2.12,7.62,Y,20170602,20170602,0.002803612,3.11512E-06,NA,7.472658137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not enough fluid for DIC
